invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-35464800092,3/31/2021,2565,Hy-Vee Food Store #1636 / Spencer,819 N Grand Ave,Spencer,51301,POINT (-95.14506 43.145897),21,CLAY,1062500,Flavored Rum,260,DIAGEO AMERICAS,43299,Captain Morgan Coconut,12,750,8.26,12.39,4,49.56,3,0.79
INV-38346600016,7/14/2021,4239,Fareway Stores #850 / Spirit Lake,1906 Keokuk,Spirit Lake,51360,POINT (-95.106219 43.42157),30,DICKINSON,1031100,American Vodkas,421,SAZERAC COMPANY  INC,36978,Nikolai Vodka,6,1750,6,9,6,62.28,10.5,2.77
INV-33485600011,1/15/2021,5787,Casey's General Store #2699 / Essex,1482 State Hwy 48,Essex,51638,POINT (-95.309361 40.832502),73,PAGE,1031100,American Vodkas,301,FIFTH GENERATION INC,38178,Titos Handmade Vodka,6,1750,19,28.5,3,85.5,5.25,1.38
INV-42132000062,11/18/2021,2626,Hy-Vee Drugstore / University / DSM,4100 University Ave,Des Moines,50311,POINT (-93.673222 41.600361),77,POLK,1011100,Blended Whiskies,255,Infinium Spirits,87026,Skrewball Peanut Butter Whiskey,6,750,18.5,27.75,6,166.5,4.5,1.18
INV-40788800031,10/8/2021,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1011100,Blended Whiskies,297,Laird & Company,23824,Five Star,24,375,2.09,3.14,4,12.56,1.5,0.39
INV-41252200794,10/22/2021,6235,World Liquor & Tobacco + Vapors / Adel,918 Court St.,Adel,50003,POINT (-94.019638 41.618253),25,DALLAS,1041100,American Dry Gins,205,E & J Gallo Winery,31493,New Amsterdam Stratusphere London Dry Gin,12,750,9,13.5,2,27,1.5,0.39
INV-35607000004,4/6/2021,4697,Southside Liquor & Tobacco / Iowa City,1921 Keokuk St,Iowa City,52240,POINT (-91.524879 41.64188),52,JOHNSON,1051100,American Brandies,421,SAZERAC COMPANY  INC,56193,Paul Masson Peach Grande Amber Brandy,24,200,1.96,2.94,24,70.56,4.8,1.26
INV-34544700011,2/23/2021,5294,Yesway Store # 10022/ Waterloo,1976 Franklin St,Waterloo,50703,POINT (-92.314939 42.495308),7,BLACK HAWK,1051100,American Brandies,205,E & J Gallo Winery,52596,E & J VS,12,750,6.5,9.75,12,117,9,2.37
INV-36231600019,4/29/2021,2532,Hy-Vee Food Store #2 / Des Moines,2540 E Euclid,Des Moines,50317,POINT (-93.569452 41.627838),77,POLK,1062400,Spiced Rum,260,DIAGEO AMERICAS,1799,Captain Morgan Original Spiced Barrel,6,1750,18,27,18,486,31.5,8.32
INV-40104200008,9/15/2021,4083,Fareway Stores #909 / Ankeny,109 SE Oralabor Rd,Ankeny,50021,POINT (-93.59949600000002 41.702811),77,POLK,1031100,American Vodkas,65,Jim Beam Brands,34578,Pinnacle,6,1750,10,15,6,90,10.5,2.77
INV-35861700020,4/16/2021,5869,Tobacco Outlet Plus #507 - Urbandale,6941 Douglas Ave,Urbandale,50322,POINT (-93.711504 41.629416),77,POLK,1031100,American Vodkas,260,DIAGEO AMERICAS,37996,Smirnoff 80prf,12,750,8.25,12.38,12,148.56,9,2.37
INV-33416800040,1/13/2021,3917,Smokin' Joe's #2 Tobacco and Liquor Outlet,1606 W Locust St,Davenport,52804,POINT (-90.599037 41.538254),82,SCOTT,1011100,Blended Whiskies,125,CEDAR RIDGE VINEYARDS LL,26710,Slipknot Iowa Whiskey No. 9,6,750,19.5,29.25,2,58.5,1.5,0.39
INV-37746200014,6/23/2021,2513,Hy-Vee Food Store #2 / Iowa City,812  S 1st Ave,Iowa City,52240,,52,JOHNSON,1012100,Canadian Whiskies,421,SAZERAC COMPANY  INC,12476,Canadian Mist Whisky PET,12,750,5.23,7.85,12,94.2,9,2.37
INV-41738300102,11/8/2021,2619,Hy-Vee Wine and Spirits / WDM,1725  74th St,West Des Moines,50266,POINT (-93.808855 41.598515),77,POLK,1011600,Straight Rye Whiskies,255,Infinium Spirits,27102,Templeton Rye 4YR,6,750,18.09,27.14,6,162.84,4.5,1.18
INV-40211200003,9/17/2021,4011,Jim and Charlies Affiliated,121 North Clinton,Albia,52531,POINT (-92.808389 41.028644),68,MONROE,1012100,Canadian Whiskies,259,Heaven Hill Brands,11786,Black Velvet PET,12,750,5.23,7.85,12,94.2,9,2.37
