invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-38396300006,7/16/2021,5625,Oasis / Des Moines,5120 NE 14th St,Des Moines,50313,POINT (-93.60054000000001 41.653137),77,POLK,1081400,American Schnapps,421,SAZERAC COMPANY  INC,84224,99 Lemon Lime Mini,10,50,5.16,7.74,2,15.48,0.1,0.02
INV-34595800022,2/25/2021,3644,Wal-Mart 2764 / Altoona,3501  8th St SW,Altoona,50009,POINT (-93.505276 41.644195),77,POLK,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19066,Jim Beam,12,750,10.5,15.75,12,189,9,2.37
INV-42064600013,11/16/2021,5415,Prime Mart 7 / Waterloo,1309 Lafayette St,Waterloo,50703,POINT (-92.3272 42.494092),7,BLACK HAWK,1062500,Flavored Rum,370,PERNOD RICARD USA,42716,Malibu Coconut,12,750,7.99,11.99,12,143.88,9,2.37
INV-32846700015,12/18/2020,5367,Casey's General Store # 2618/ Fredricksburg,215 W Main St.,Fredericksburg,50630,POINT (-92.202089 42.965093),19,CHICKASAW,1031100,American Vodkas,434,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,12,129.12,21,5.54
INV-42248800004,11/22/2021,5781,Casey's General Store #2898 / Clarence,93 Lombard St,Clarence,52216,POINT (-91.065862 41.888723),16,CEDAR,1062500,Flavored Rum,305,Mhw LTD,42242,Blue Chair Bay Coconut Rum,12,750,10.49,15.74,4,62.96,3,0.79
INV-40826000015,10/8/2021,4209,Wal-Mart 5748 / Grimes,2150 East 1st St,Grimes,50111,POINT (-93.771356 41.685538),77,POLK,1031100,American Vodkas,260,DIAGEO AMERICAS,37998,Smirnoff 80prf,6,1750,14.75,22.13,12,265.56,21,5.54
INV-36926600016,5/25/2021,4014,Wal-Mart 1732 / Denison,510 C Ave,Denison,51442,,24,CRAWFORD,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,100423,Fireball Cinnamon Whiskey 100ml Carrier,8,100,6,9,8,72,0.8,0.21
INV-39156600054,8/12/2021,5917,Urbandale Liquor,6401 Douglas Ave STE 1,Urbandale,50322,POINT (-93.705732 41.629411),77,POLK,1051100,American Brandies,421,SAZERAC COMPANY  INC,52199,Paul Masson Grande Amber Brandy VS,48,100,1,1.5,48,72,4.8,1.26
INV-37693600037,6/21/2021,5198,Riverside Liquor,826 E River Dr,Davenport,52803,POINT (-90.561741 41.524926),82,SCOTT,1031100,American Vodkas,205,E & J Gallo Winery,36971,New Amsterdam 80prf,6,1750,14,21,6,126,10.5,2.77
INV-41396400037,10/27/2021,3629,Wal-Mart 1965 / Council Bluffs,3200 Manawa Dr,Council Bluffs,51503,,78,POTTAWATTA,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,27410,Jim Beam Honey,12,750,11,16.5,12,198,9,2.37
INV-41259700017,10/22/2021,3678,"Smoke Shop, The",1918 SE 14th St,Des Moines,50320,POINT (-93.597011 41.570844),77,POLK,1022100,Mixto Tequila,395,PROXIMO,89198,Jose Cuervo Especial Reposado,6,1750,21.5,32.25,6,193.5,10.5,2.77
INV-39900900048,9/9/2021,5144,Sam's Club 6979 / Ankeny,4625 SE Delaware Ave,Ankeny,50021,POINT (-93.581273 41.691),77,POLK,1091300,Neutral Grain Spirits Flavored,346,OLE SMOKY DISTILLERY LLC,86843,Ole Smoky Salty Caramel Whiskey,6,750,10,15,6,90,4.5,1.18
INV-40299700008,9/21/2021,5627,Casey's General Store #2275 / Sioux City,1000 Riverside Blvd,Sioux City,51109,POINT (-96.467468 42.496756),97,WOODBURY,1031100,American Vodkas,434,LUXCO INC,36301,Hawkeye Vodka Mini,12,50,4.13,6.2,12,74.4,0.6,0.15
INV-32606800009,12/10/2020,2582,Hy-Vee #2 Food Store / Mason City,551 S Illinois Ave,Mason City,50401,POINT (-93.17114 43.14623),17,CERRO GORD,1062200,White Rum,434,LUXCO INC,45278,Paramount White Rum,6,1750,7.5,11.25,6,67.5,10.5,2.77
INV-38933200071,8/4/2021,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1051100,American Brandies,434,LUXCO INC,54646,Arrow Blackberry Brandy,12,750,5.5,8.25,4,33,3,0.79
INV-33036900160,12/26/2020,2573,Hy-Vee Food Store / Muscatine,2400 2nd Ave,Muscatine,52761,POINT (-91.035138 41.451349),70,MUSCATINE,1062300,Aged Dark Rum,255,Infinium Spirits,42983,Zaya Gran Reserva Rum,6,750,13.98,20.97,2,41.94,1.5,0.39
INV-42276200007,11/23/2021,4988,Happy's Wine & Spirits,5925 University Ave,Cedar Falls,50613,POINT (-92.429331 42.512766),7,BLACK HAWK,1091300,Neutral Grain Spirits Flavored,384,PIEDMONT DISTILLERS INC,76067,Midnight Moon Watermelon Mini,4,50,17.16,25.74,4,102.96,0.2,0.05
INV-41252201173,10/22/2021,6235,World Liquor & Tobacco + Vapors / Adel,918 Court St.,Adel,50003,POINT (-94.019638 41.618253),25,DALLAS,1081200,Cream Liqueurs,205,E & J Gallo Winery,80486,Tippy Cow Orange Cream,6,750,11,16.5,2,33,1.5,0.39
INV-33695900022,1/22/2021,3830,Wal-Mart 1435 / Creston,806 Laurel St,Creston,50801,POINT (-94.372786 41.047714),88,UNION,1062500,Flavored Rum,370,PERNOD RICARD USA,42717,Malibu Coconut Rum,12,1000,10.99,16.49,12,197.88,12,3.17
INV-33533300002,1/18/2021,5326,Als Liquor,215 W. Milwaukee Ave,Storm Lake,50588,POINT (-95.202405 42.647492),11,BUENA VIST,1081400,American Schnapps,65,Jim Beam Brands,82610,Dekuyper Hot Damn!,12,1000,7.87,11.81,4,47.24,4,1.05
INV-36023600101,4/21/2021,2555,Hy-Vee Food Store / Keokuk,3111 Main,Keokuk,52632,POINT (-91.403752 40.41538),56,LEE,1062400,Spiced Rum,259,Heaven Hill Brands,43024,Admiral Nelson Spiced,24,375,2.99,4.49,24,107.76,9,2.37
INV-36737700012,5/18/2021,4019,Wal-Mart 1506 / Manchester,1220 West Main,Manchester,52057,,28,DELAWARE,1012100,Canadian Whiskies,259,Heaven Hill Brands,11788,Black Velvet,6,1750,10.45,15.68,24,376.32,42,11.09
INV-37704300060,6/22/2021,2549,Hy-Vee Food Store / Indianola,910 N Jefferson,Indianola,50125,,91,WARREN,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,27408,Jim Beam Honey Mini,12,50,5.4,8.1,1,8.1,0.05,0.01
INV-39654100018,8/30/2021,5888,Big 10 Mart #62 / Bettendorf,999 Middle Rd,Bettendorf,52722,POINT (-90.51902 41.539963),82,SCOTT,1031100,American Vodkas,300,McCormick Distilling Co.,36886,McCormick 80prf Vodka,12,750,3.31,4.97,12,59.64,9,2.37
INV-40892500030,10/12/2021,5089,Mos Mini Mart,"614, E Erie St",Missouri Valley,51555,POINT (-95.88687 41.556439),43,HARRISON,1701100,Temporary & Specialty Packages,300,McCormick Distilling Co.,100215,Tequila Rose Liqueur w/2 Shot Glasses,6,750,11.5,17.25,2,34.5,1.5,0.39
INV-39496100004,8/24/2021,5366,Liquor Beer & Tobacco Outlet,1908 Clark St,Charles City,50616,POINT (-92.661881 43.05913400000001),34,FLOYD,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,86881,Southern Comfort Mini,10,50,5.16,7.74,10,77.4,0.5,0.13
INV-33703200006,1/22/2021,4275,Fareway Stores #980 / Knoxville,1308 S Lincoln St,Knoxville,50138,POINT (-93.109473 41.308103),63,MARION,1081400,American Schnapps,434,LUXCO INC,81208,Paramount Peppermint Schnapps,6,1750,7.5,11.25,6,67.5,10.5,2.77
INV-38595200020,7/22/2021,3644,Wal-Mart 2764 / Altoona,3501  8th St SW,Altoona,50009,POINT (-93.505276 41.644195),77,POLK,1031100,American Vodkas,297,Laird & Company,35916,Five O'Clock Vodka,12,750,3.37,5.06,12,60.72,9,2.37
INV-37773100051,6/24/2021,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1031200,American Flavored Vodka,259,Heaven Hill Brands,36606,Deep Eddy Orange,12,750,8.5,12.75,24,306,18,4.75
INV-36271500100,4/30/2021,3818,Round Window Liquor,703 W Pleasant St,Knoxville,50138,POINT (-93.10564100000002 41.320746),63,MARION,1081400,American Schnapps,65,Jim Beam Brands,82607,Dekuyper Sour Apple Pucker,12,1000,7.87,11.81,2,23.62,2,0.52
INV-39121100009,8/11/2021,2843,CVS Pharmacy #8526 / Cedar Rapids,4116 Center Pointe Rd,Cedar Rapids,52402,POINT (-91.665139 42.020729),57,LINN,1031100,American Vodkas,300,McCormick Distilling Co.,36908,McCormick 80prf Vodka PET,6,1750,7.47,11.21,6,67.26,10.5,2.77
INV-40930200107,10/13/2021,2500,Hy-Vee Food Store #1 / Ames,3800 W Lincoln Way,Ames,50010,,85,STORY,1081400,American Schnapps,65,Jim Beam Brands,82606,Dekuyper Sour Apple Pucker,12,750,6.5,9.75,12,117,9,2.37
INV-35499400067,4/1/2021,2548,Hy-Vee Food Store / Altoona,100 8th Street SW,Altoona,50009,POINT (-93.465301 41.644041),77,POLK,1071100,Cocktails /RTD,395,PROXIMO,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.74,13.11,6,78.66,10.5,2.77
INV-36717100027,5/18/2021,2544,Hy-Vee Food Store / Marshalltown,802 South Center,Marshalltown,50158,POINT (-92.912817 42.039205),64,MARSHALL,1062200,White Rum,260,DIAGEO AMERICAS,43296,Captain Morgan Silver Spiced,12,750,9,13.5,6,81,4.5,1.18
INV-39556900053,8/25/2021,2584,Hy-Vee Food Store / Fort Madison,2606 Avenue L,Fort Madison,52627,POINT (-91.343544 40.626988),56,LEE,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,68036,Baileys Original Irish Cream,12,750,16.49,24.74,6,148.44,4.5,1.18
INV-39374000075,8/19/2021,3456,Quick Shop / Clear Lake,904 N 8th St,ClearLake,50428,POINT (-93.378772 43.142868),17,CERRO GORD,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,50,25.8,38.7,15,580.5,0.75,0.19
INV-33104300009,12/29/2020,4866,Tobacco Hut #18 / Council Bluffs,429 Veterans Memorial,Council Bluffs,51501,POINT (-95.851844 41.219624),78,POTTAWATTA,1031100,American Vodkas,300,McCormick Distilling Co.,36904,McCormick 80prf Vodka PET,24,375,1.8,2.7,24,64.8,9,2.37
INV-39408000017,8/20/2021,3833,Wal-Mart 3394 / Atlantic,1905 East 7th St,Atlantic,50022,POINT (-94.98571 41.403853),15,CASS,1022100,Mixto Tequila,395,PROXIMO,87410,Jose Cuervo Especial Silver,6,1750,21.5,32.25,6,193.5,10.5,2.77
INV-34797000061,3/5/2021,3868,Wal-Mart 3630 / Marion,5491 Business Hwy 151,Marion,52302,,57,LINN,1041100,American Dry Gins,55,SAZERAC NORTH AMERICA,29712,Caliber Gin,6,1750,6.92,10.38,6,62.28,10.5,2.77
INV-34536400024,2/23/2021,4697,Southside Liquor & Tobacco / Iowa City,1921 Keokuk St,Iowa City,52240,POINT (-91.524879 41.64188),52,JOHNSON,1062400,Spiced Rum,240,William Grant & Sons Inc,45886,Sailor Jerry Spiced Navy Rum,12,750,10,15,12,180,9,2.37
INV-33844100013,1/28/2021,2665,Hy-Vee / Waukee,1005 E Hickman Rd,Waukee,50263,POINT (-93.854477 41.615059),25,DALLAS,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64904,Fireball Cinnamon Whiskey PET,6,1750,15.33,23,6,138,10.5,2.77
INV-42235300008,11/22/2021,6076,Shop N Save Newton,404 S 11th Ave W,Newton,50208,,50,JASPER,1022200,100% Agave Tequila,255,Infinium Spirits,89242,Corralejo Reposado,6,750,16,24,6,144,4.5,1.18
INV-40710700013,10/5/2021,4148,Fareway Stores #479 / Independence,1400 3rd Ave SE,Independence,50644,,10,BUCHANAN,1031100,American Vodkas,300,McCormick Distilling Co.,36908,McCormick 80prf Vodka PET,6,1750,7.47,11.21,6,67.26,10.5,2.77
INV-40923000015,10/13/2021,5636,Big Discount Liquor,5427  Center Point Rd,Cedar Rapids,52402,,57,LINN,1051100,American Brandies,421,SAZERAC COMPANY  INC,53214,Paul Masson Grande Amber Brandy VS,24,375,3.22,4.83,24,115.92,9,2.37
INV-38737900020,7/28/2021,2521,Hy-Vee Food and Drug / Grand / WDM,1990 Grand Avenue,West Des Moines,50265,POINT (-93.73162 41.571127),77,POLK,1012200,Scotch Whiskies,35,BACARDI USA INC,4868,Dewars White Label Scotch,6,1750,26.5,39.75,6,238.5,10.5,2.77
INV-35235300054,3/23/2021,3651,Wal-Mart 1491 / Indianola,1500 North Jefferson,Indianola,50125,,91,WARREN,1022100,Mixto Tequila,460,Shaw-Ross International,87872,JAJA BLANCO TEQUILA,6,750,21,31.5,6,189,4.5,1.18
INV-33707000031,1/22/2021,5129,Cash Saver  /  Fleur,4121 Fleur Dr,Des Moines,50321,POINT (-93.64492 41.546838),77,POLK,1012100,Canadian Whiskies,85,Brown Forman Corp.,12466,Canadian Mist Whisky,12,750,5.48,8.22,12,98.64,9,2.37
INV-33267400010,1/7/2021,5187,Kwik Stop Liquor & Groceries Ames,125 6th ST,Ames,50010,POINT (-93.611773 42.026938),85,STORY,1042100,Imported Dry Gins,260,DIAGEO AMERICAS,28886,Tanqueray No Ten,12,750,17.92,26.88,2,53.76,1.5,0.39
INV-37184400032,6/4/2021,5127,Price Chopper  /  Ingersoll,3425 Ingersoll Ave,Des Moines,50312,POINT (-93.663337 41.586313),77,POLK,1062200,White Rum,35,BACARDI USA INC,43128,Bacardi Superior,6,1750,15,22.5,6,135,10.5,2.77
INV-39869900026,9/8/2021,2535,Hy-Vee Food Store #1 / WDM,1700 Valley West Dr,West Des Moines,50265,,77,POLK,1062300,Aged Dark Rum,482,"Sovereign Brands, LLC",64529,Bumbu Rum,6,750,18.5,27.75,6,166.5,4.5,1.18
INV-33277400081,1/7/2021,5651,Super Quick Mart / Windsor Heights,7690 Hickman Rd,Windsor Heights,50324,POINT (-93.72238 41.614669),77,Polk,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64865,Fireball Cinnamon Whiskey PET,12,750,8.98,13.47,12,161.64,9,2.37
INV-39015900009,8/6/2021,6068,Star Convenience / Fort Dodge,115 N 22nd St,Fort Dodge,50501,POINT (-94.168007 42.507885),94,WEBSTER,1032100,Imported Vodkas,255,Infinium Spirits,34122,Crystal Head Vodka,6,750,24.99,37.49,3,112.47,2.25,0.59
INV-38955600101,8/5/2021,2555,Hy-Vee Food Store / Keokuk,3111 Main,Keokuk,52632,POINT (-91.403752 40.41538),56,LEE,1062500,Flavored Rum,370,PERNOD RICARD USA,42714,Malibu Coconut,24,375,4.24,6.36,6,38.16,2.25,0.59
INV-38383200003,7/15/2021,5135,Fareway Stores #155 / Huxley,911 Hwy 69,Huxley,50124,,85,STORY,1011600,Straight Rye Whiskies,259,Heaven Hill Brands,27016,Rittenhouse Rye Whiskey,12,750,12.5,18.75,1,18.75,0.75,0.19
INV-32896500033,12/22/2020,5207,Jim's Foods  /  Cedar Rapids,"812, Sixth  St SW",Cedar Rapids,52404,POINT (-91.67707300000001 41.968016000000006),57,LINN,1081200,Cream Liqueurs,305,Mhw LTD,73052,Rumchata,12,375,7.5,11.25,2,22.5,0.75,0.19
INV-35561500023,4/5/2021,5091,Kum & Go #1436 / Muscatine,416 Cedar St,Muscatine,52671,POINT (-91.392568 40.92129),70,MUSCATINE,1062500,Flavored Rum,370,PERNOD RICARD USA,42716,Malibu Coconut,12,750,7.99,11.99,2,23.98,1.5,0.39
INV-41310900030,10/25/2021,2678,Hy-Vee Fast & Fresh / Davenport,3200 E KIMBERLY RD.,Davenport,52807,POINT (-90.527278 41.553879),82,SCOTT,1081400,American Schnapps,421,SAZERAC COMPANY  INC,84152,99 Oranges Mini,10,50,5.16,7.74,1,7.74,0.05,0.01
INV-37137900001,6/2/2021,4932,B and B West,3105 Hudson Rd,Cedar Falls,50613,POINT (-92.465838 42.509248),7,BLACK HAWK,1031100,American Vodkas,300,McCormick Distilling Co.,36901,McCormick 80prf Vodka Mini,6,50,4.7,7.05,2,14.1,0.1,0.02
INV-39200100018,8/13/2021,2560,Hy-Vee Food Store / Marion,3600 Business Hwy 151 East,Marion,52302,,57,LINN,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26821,Jack Daniels Old #7 Black Label Mini,12,50,9.06,13.59,4,54.36,0.2,0.05
INV-32690500148,12/14/2020,2616,Hy-Vee Food and Drug / Clinton,901 South 4th St,Clinton,52732,POINT (-90.193204 41.836268000000004),23,CLINTON,1062400,Spiced Rum,259,Heaven Hill Brands,43027,Admiral Nelson Spiced Rum,12,1000,7.49,11.24,12,134.88,12,3.17
INV-33847800011,1/28/2021,5778,Casey's General Store #2842 / Huxley,104 N Hwy 69,Huxley,50124,POINT (-93.600539 41.89310700000001),85,STORY,1062500,Flavored Rum,35,BACARDI USA INC,43136,Bacardi Limon,12,750,8.26,12.39,12,148.68,9,2.37
INV-36060000005,4/23/2021,2535,Hy-Vee Food Store #1 / WDM,1700 Valley West Dr,West Des Moines,50265,,77,POLK,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64865,Fireball Cinnamon Whiskey PET,12,750,8.98,13.47,12,161.64,9,2.37
INV-40933700026,10/13/2021,4073,"Uptown Liquor, Llc",306 Hwy 69 South,Forest City,50436,POINT (-93.633306 43.261538),95,WINNEBAGO,1031100,American Vodkas,300,McCormick Distilling Co.,36908,McCormick 80prf Vodka PET,6,1750,7.47,11.21,6,67.26,10.5,2.77
INV-40141900010,9/16/2021,5142,Smokin' Joe's #13 Tobacco and Liquor Outlet,2315 Mt Vernon Rd SE,Cedar Rapids,52303,,57,Linn,1031100,American Vodkas,205,E & J Gallo Winery,36970,New Amsterdam 80prf,12,1000,7.33,11,4,44,4,1.05
INV-41732700078,11/8/2021,4637,Kwik Shop #560 / Cedar Rapids,3301 J St,Cedar Rapids,52404,POINT (-91.666812 41.944676),57,LINN,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64863,Fireball Cinnamon Whiskey,48,200,2.5,3.75,48,180,9.6,2.53
INV-41559900011,11/2/2021,3997,Wal-Mart 4606 / Osceola,2400 College Dr,Osceola,50213,POINT (-93.800214 41.024891000000004),20,CLARKE,1012200,Scotch Whiskies,260,DIAGEO AMERICAS,4626,Buchanan Deluxe 12YR,12,750,20.99,31.49,12,377.88,9,2.37
INV-39353900008,8/19/2021,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1011600,Straight Rye Whiskies,260,DIAGEO AMERICAS,27025,Bulleit 95 Rye,12,750,16.5,24.75,24,594,18,4.75
INV-42202800019,11/19/2021,5157,Kimmes Manson Country Store #10,208 Main St,Manson,50563,POINT (-94.534532 42.517855),13,CALHOUN,1031100,American Vodkas,297,Laird & Company,35917,Five O'Clock Vodka,12,1000,4.17,6.26,12,75.12,12,3.17
INV-40303900050,9/22/2021,3731,Wal-Mart 1241 / Davenport,5811 Elmore Ave,Davenport,52807,POINT (-90.525525 41.580212),82,SCOTT,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64867,Fireball Cinnamon Whiskey,12,1000,11.34,17.01,12,204.12,12,3.17
INV-41557900161,11/2/2021,2666,Hy-Vee Food Store #2 / State Ankeny,2510 SW State St,Ankeny,50023,POINT (-93.621824 41.705188),77,POLK,1081400,American Schnapps,421,SAZERAC COMPANY  INC,84222,99 Blue Raspberries Mini,10,50,5.16,7.74,2,15.48,0.1,0.02
INV-38829000011,7/30/2021,5726,Ehlinger's Vinton Express,310 K Avenue South,Vinton,52349,POINT (-92.037532 42.168297),6,BENTON,1062200,White Rum,434,LUXCO INC,45276,Paramount White Rum,12,750,4,6,2,12,1.5,0.39
INV-41820400014,11/9/2021,5898,Urban Fuel LLC / North Liberty,1 Hawkeye Dr,North Liberty,52327,POINT (-91.60715 41.734468),52,JOHNSON,1012100,Canadian Whiskies,259,Heaven Hill Brands,11777,Black Velvet,12,1000,6.63,9.95,12,119.4,12,3.17
INV-42369400015,11/26/2021,4370,Kum & Go #240 / North Ave Norwalk,530 North Ave,Norwalk,50211,,91,WARREN,1022100,Mixto Tequila,395,PROXIMO,87408,Jose Cuervo Especial Silver,12,750,11.07,16.61,6,99.66,4.5,1.18
INV-38140400118,7/7/2021,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411,POINT (-91.701581 42.030129),57,LINN,1081400,American Schnapps,434,LUXCO INC,84456,Paramount Peach Schnapps,12,750,5,7.5,6,45,4.5,1.18
INV-40865700016,10/11/2021,3841,Hartig Drug Company #2 / Locust,157 Locust St,Dubuque,52001,POINT (-90.665439 42.495308),31,DUBUQUE,1031100,American Vodkas,434,LUXCO INC,36301,Hawkeye Vodka Mini,12,50,4.13,6.2,12,74.4,0.6,0.15
INV-33320100004,1/8/2021,5652,Avenue G Store / Council Bluffs,1602 Avenue G,Council Bluffs,51501,POINT (-95.86789 41.26712),78,POTTAWATTA,1081400,American Schnapps,55,SAZERAC NORTH AMERICA,984400,SOOH 99 Mangoes Mini,10,50,5,7.5,10,90,0.5,0.13
INV-34564300047,2/24/2021,3917,Smokin' Joe's #2 Tobacco and Liquor Outlet,1606 W Locust St,Davenport,52804,POINT (-90.599037 41.538254),82,SCOTT,1031100,American Vodkas,300,McCormick Distilling Co.,36908,McCormick 80prf Vodka PET,6,1750,7.47,11.21,6,67.26,10.5,2.77
INV-39834900031,9/7/2021,2678,Hy-Vee Fast & Fresh / Davenport,3200 E KIMBERLY RD.,Davenport,52807,POINT (-90.527278 41.553879),82,SCOTT,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64866,Fireball Cinnamon Whiskey,12,750,9,13.5,12,162,9,2.37
INV-38977200017,8/5/2021,2515,Hy-Vee Food Store #1 / Mason City,2400 4th St SW,Mason City,50401,POINT (-93.235588 43.148451),17,CERRO GORD,1062200,White Rum,434,LUXCO INC,45278,Paramount White Rum,6,1750,7.5,11.25,18,202.5,31.5,8.32
INV-34344300012,2/16/2021,4229,Fareway Stores #790 / Harlan,1910  23rd St,Harlan,51537,POINT (-95.339845 41.650132),83,SHELBY,1031100,American Vodkas,421,SAZERAC COMPANY  INC,36978,Nikolai Vodka,6,1750,6.92,10.38,6,58.5,10.5,2.77
INV-36375400050,5/5/2021,2642,Hy-Vee Wine and Spirits / Pella,512 E Oskaloosa,Pella,50219,POINT (-92.899277 41.396961000000005),63,MARION,1071100,Cocktails /RTD,395,PROXIMO,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.74,13.11,12,157.32,21,5.54
INV-39085400018,8/10/2021,5086,"Central Mart I, LLC.","2501, Floyd Blvd",Sioux City,51106,POINT (-96.385071 42.515989),97,WOODBURY,1031100,American Vodkas,297,Laird & Company,35918,Five O'Clock Vodka,6,1750,7.2,10.8,6,64.8,10.5,2.77
INV-37322200008,6/8/2021,5691,Logan Ave Convenience Store / Waterloo,735 Logan Ave,Waterloo,50703,POINT (-92.337744 42.510453),7,BLACK HAWK,1041100,American Dry Gins,205,E & J Gallo Winery,31470,New Amsterdam Gin,12,1000,7.33,11,48,528,48,12.68
INV-41926300003,11/12/2021,3678,"Smoke Shop, The",1918 SE 14th St,Des Moines,50320,POINT (-93.597011 41.570844),77,POLK,1011200,Straight Bourbon Whiskies,259,Heaven Hill Brands,17919,Elijah Craig  Small Batch,6,1750,30,45,2,90,3.5,0.92
INV-40368900004,9/23/2021,5816,Casey's General Store #2916 / Altoona,170 36th Ave SW,Altoona,50009,POINT (-93.508902 41.650014),77,POLK,1031100,American Vodkas,260,DIAGEO AMERICAS,37994,Smirnoff 80prf,24,375,4.75,7.13,24,171.12,9,2.37
INV-32681700123,12/14/2020,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588,POINT (-95.200758 42.65318400000001),11,BUENA VIST,1071100,Cocktails /RTD,395,PROXIMO,59159,1800 Ultimate Raspberry Margarita,6,1750,10.04,15.06,2,30.12,3.5,0.92
INV-37754600019,6/23/2021,6013,Mill Street Liquor / Lake Mills,107 N Mill St,Lake Mills,50450,POINT (-93.535032 43.419668),95,WINNEBAGO,1081400,American Schnapps,55,SAZERAC NORTH AMERICA,84143,99 Cinnamon Mini,10,50,5.16,7.74,2,15.48,0.1,0.02
INV-35180000013,3/19/2021,4317,Fareway Stores #941 / Greenfield,212 SW Kent,Greenfield,50849,POINT (-94.462719 41.303167),1,ADAIR,1011100,Blended Whiskies,65,Jim Beam Brands,24458,Kessler Blend Whiskey,6,1750,11,16.5,6,99,10.5,2.77
INV-33302700071,1/8/2021,2607,Hy-Vee Wine and Spirits / Shenandoah,520 So Fremont,Shenandoah,51601,POINT (-95.385111 40.761736),73,PAGE,1012200,Scotch Whiskies,260,DIAGEO AMERICAS,5347,Johnnie Walker Red,12,1000,17.1,25.65,1,25.65,1,0.26
INV-35145900036,3/19/2021,3757,Wal-Mart 3590 / Sioux City,3101 Floyd Blvd,Sioux City,51108,POINT (-96.37287 42.530454),97,WOODBURY,1071100,Cocktails /RTD,395,PROXIMO,58872,Jose Cuervo Authentic Light Lime Margarita,6,1750,8.74,13.11,6,78.66,10.5,2.77
INV-39810900008,9/3/2021,5466,Southside Tobacco & Liquor,2424 SW 9th St #1,Des Moines,50315,POINT (-93.624729 41.56373),77,POLK,1011100,Blended Whiskies,654,Revelton Distilling Company,26291,Revelton Honey Whiskey,6,750,17,25.5,2,51,1.5,0.39
INV-36005600050,4/21/2021,2685,Hy-Vee -Garner,255 West US HWY 18,Garner,50438,POINT (-93.604203 43.10585),41,HANCOCK,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64865,Fireball Cinnamon Whiskey PET,12,750,8.98,13.47,12,161.64,9,2.37
INV-38059100055,7/5/2021,2635,Hy-Vee #4 / Davenport,4064 E 53rd St,Davenport,52807,POINT (-90.513769 41.574973),82,SCOTT,1012100,Canadian Whiskies,65,Jim Beam Brands,10846,Canadian Club Small Batch Classic,12,750,13.12,19.68,6,118.08,4.5,1.18
INV-33214300052,1/5/2021,5054,Cork 'N Bottle / Manchester,900 E Main St,Manchester,52087,POINT (-91.445038 42.484073),28,Delaware,1081600,Whiskey Liqueur,285,Charles Jacquin Et Cie,77472,Sweet Revenge,6,750,10.98,16.47,1,16.47,0.75,0.19
INV-38282700008,7/13/2021,5289,Yesway Store # 10020/ Story City,527 Park Ave,Story City,50248,POINT (-93.597789 42.186722),85,STORY,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25604,Seagrams 7 Crown,12,375,3.5,5.25,12,63,4.5,1.18
INV-33327200027,1/11/2021,6095,Liquor Tobacco Outlet / Fort Dodge,902 1st Ave N,Fort Dodge,50501,POINT (-94.186138 42.506332),94,WEBSTER,1062400,Spiced Rum,240,William Grant & Sons Inc,45886,Sailor Jerry Spiced Navy Rum,12,750,10,15,4,60,3,0.79
INV-40968200021,10/14/2021,4675,Kum & Go #1113 / Ames,2801 E 13th St,Ames,50010,POINT (-93.575702 42.034562),85,STORY,1062400,Spiced Rum,260,DIAGEO AMERICAS,43334,Captain Morgan Original Spiced,24,375,5,7.5,6,45,2.25,0.59
